17403|Bag of the Tinkerers|4750000|5250000
25595|Doljonijiarnimorinar|4750000|10500000
25249|Drakkel Steel Breastplate|760000|840000
4004|Steel Breastplate|712500|787500
4016|Small Steel Breastplate|712500|787500
4028|Large Steel Breastplate|712500|787500
4523|Blood Ember Breastplate|712500|787500
4530|Jaundiced Bone Breastplate|712500|787500
4537|Tolan's Darkwood Breastplate|712500|787500
4544|Deepwater Breastplate|712500|787500
4551|Mrylokar's Breastplate|712500|787500
4558|Singing Steel Breastplate|712500|787500
4565|Donal's Chestplate of Mourning|712500|787500
4572|Elder Spiritist's Breastplate|712500|787500
30153|Small Velium Breastplate|712500|787500
25255|Drakkel Plate Gauntlets|484500|535500
25326|Blood Runed Girdle|475516|1576713
17919|Large Velium Candy Jar|475000|525000
4010|Plate Gauntlets|437000|483000
4022|Small Plate Gauntlets|437000|483000
4034|Large Plate Gauntlets|437000|483000
4519|Cobalt Gauntlets|437000|483000
4526|Blood Ember Gauntlets|437000|483000
4533|Jaundiced Bone Gauntlets|437000|483000
4540|Tolan's Darkwood Gauntlets|437000|483000
4547|Deepwater Gauntlets|437000|483000
4554|Mrylokar's Gauntlets|437000|483000
4561|Singing Steel Gauntlets|437000|483000
4568|Donal's Gauntlets of Mourning|437000|483000
4575|Elder Spiritist's Gauntlets|437000|483000
30159|Small Velium Gauntlets|437000|483000
25256|Drakkel Steel Greaves|427500|472500
25251|Drakkel Steel Cloak|408500|451500
4011|Steel Greaves|380000|420000
4023|Small Steel Greaves|380000|420000
4035|Large Steel Greaves|380000|420000
4152|Large Steel Kilt|380000|420000
4520|Cobalt Greaves|380000|420000
4527|Blood Ember Greaves|380000|420000
4534|Jaundiced Bone Greaves|380000|420000
4541|Tolan's Darkwood Greaves|380000|420000
4548|Deepwater Greaves|380000|420000
4555|Mrylokar's Greaves|380000|420000
4562|Singing Steel Greaves|380000|420000
4569|Donal's Leggings of Mourning|380000|420000
4576|Elder Spiritist's Greaves|380000|420000
25250|Drakkel Steel Pauldron|380000|420000
30160|Small Velium Greaves|380000|420000
4006|Splinted Cloak|361000|399000
4018|Small Splinted Cloak|361000|399000
4030|Large Splinted Cloak|361000|399000
6658|Sage's Battle Staff|361000|399000
25257|Drakkel Steel Boots|361000|399000
30155|Small Velium Splint Cloak|361000|399000
10869|Truesilver Mail Shirt|356250|3937500
25253|Drakkel Steel Vambraces|351500|388500
4001|Platemail Helm|332500|367500
4005|Steel Pauldron|332500|367500
4013|Small Platemail Helm|332500|367500
4017|Small Steel Pauldron|332500|367500
4025|Large Platemail Helm|332500|367500
4029|Large Steel Pauldron|332500|367500
4522|Blood Ember Helm|332500|367500
4529|Jaundiced Bone Helm|332500|367500
4536|Tolan's Darkwood Helm|332500|367500
4543|Deepwater Helm|332500|367500
4550|Mrylokar's Helm|332500|367500
4557|Singing Steel Helm|332500|367500
4564|Donal's Helm of Mourning|332500|367500
4571|Elder Spiritist's Helm|332500|367500
5608|Shieldstorm|332500|4777500
5627|Deathwatch Sword|332500|4777500
30150|Small Velium Helm|332500|367500
30154|Small Velium Pauldron|332500|367500
4012|Steel Plate Boots|313500|346500
4024|Small Steel Plate Boots|313500|346500
4036|Large Steel Plate Boots|313500|346500
4521|Cobalt Boots|313500|346500
4528|Blood Ember Boots|313500|346500
4535|Jaundiced Bone Boots|313500|346500
4542|Tolan's Darkwood Boots|313500|346500
4549|Deepwater Boots|313500|346500
4556|Mrylokar's Boots|313500|346500
4563|Singing Steel Boots|313500|346500
4570|Donal's Boots of Mourning|313500|346500
4577|Elder Spiritist's Boots|313500|346500
25252|Drakkel Plate Girdle|313500|346500
30161|Small Velium Plate Boots|313500|346500
4008|Steel Vambraces|304000|336000
4020|Small Steel Vambraces|304000|336000
4032|Large Steel Vambraces|304000|336000
4517|Cobalt Vambraces|304000|336000
4524|Blood Ember Vambraces|304000|336000
4531|Jaundiced Bone Vambraces|304000|336000
4538|Tolan's Darkwood Vambraces|304000|336000
4545|Deepwater Vambraces|304000|336000
4552|Mrylokar's Vambraces|304000|336000
4559|Singing Steel Vambraces|304000|336000
4566|Donal's Vambraces of Mourning|304000|1680000
4573|Elder Spiritist's Vambraces|304000|336000
30157|Small Velium Vambraces|304000|336000
11538|Forest Loop|285000|1575000
25254|Drakkel Steel Bracers|275500|304500
4007|Plate Girdle|266000|294000
4019|Small Plate Girdle|266000|294000
4031|Large Plate Girdle|266000|294000
30156|Small Velium Girdle|266000|294000
25592|Cold Steel Helmet|239926|530363
25581|Girdle of Wurmslaying|239898|530302
25591|Cold Steel Boots|239894|265147
25578|Icepaw Skull Helm|238555|527333
5500|Short Sword of the Ykesha|237500|3150000
11052|Tobrin's Mystical Eyepatch|237500|13125000
14709|Necklace of Superiority|237500|2625000
20655|Slime Blood of Cazic-Thule|237500|2625000
20656|Eye of Innoruuk|237500|2625000
22098|Velium Bar|237500|262500
22503|Blue Diamond|237500|262500
25577|Stein of Bitter Cold|237500|525000
25587|Cold Steel Breastplate|237500|262500
30515|Amulet of Insight|237500|2625000
31203|Silvery Belt of Contention|237500|525000
4009|Steel Bracers|228000|252000
4021|Small Steel Bracers|228000|252000
4033|Large Steel Bracers|228000|252000
4518|Cobalt Bracer|228000|252000
4525|Blood Ember Bracer|228000|252000
4532|Jaundiced Bone Bracer|228000|252000
4539|Tolan's Darkwood Bracer|228000|252000
4546|Deepwater Bracer|228000|252000
4553|Mrylokar's Bracer|228000|252000
4560|Singing Steel Bracer|228000|252000
4567|Donal's Bracer of Mourning|228000|252000
4574|Elder Spiritist's Bracer|228000|252000
30158|Small Velium Bracers|228000|252000
8049|Dew Woven Leggings|197600|436800
1548|Robe of the Grove|190000|525000
4312|Sludged Girdle|190000|42000000
4317|Dark Scale Greaves|190000|4200000
4402|Adamantite Epaulets|190000|630000
5322|Ivory Handled Cleaver|190000|210000
5407|Executioner's Axe|190000|2100000
5703|Dark Scale Sleeves|190000|4200000
10037|Diamond|190000|210000
10051|Ruby Crown|190000|210000
14402|Vial of Swirling Smoke|190000|1050000
25642|Chipped Diamond|190000|210000
27940|Spiked Ringmail Sleeves|190000|4200000
29319|Mask of the Dragon Slayer|190000|2520000
11541|Gem Encrusted Ring|181117|2001825
25248|Drakkel Steel Collar|180500|199500
21170|TeirDal Adamantite Breastplate|177650|294525
21177|TeirDal Adamantite Greaves|175750|291375
6645|Soul Binder|171000|18900000
6649|Mrylokar's Gift|171000|1890000
6652|Granite Face Grinder|171000|1890000
6653|Silver Etched Warhammer|171000|1890000
6654|Stormwood Battle Staff|171000|1890000
6657|Rod of Battle|171000|189000
6693|Rod of Lamentation|171000|1890000
21172|TeirDal Adamantite Cloak|168150|278775
4406|Runed Mithril Bracer|166250|367500
10036|Black Sapphire|166250|183750
10050|Sapphire Necklace|166250|183750
25641|Chipped Black Sapphire|166250|183750
8033|Sabertooth Forged Ringmail|156750|346500
4314|Froglok Scale Chestplate|142500|3150000
5657|Ornate Rune Blade|142500|2047500
7226|Cryptrobber's Knife|142500|2362500
10049|Fire Emerald Ring|142500|157500
10053|Jacinth|142500|157500
10868|Truesilver Mail Coif|142500|1575000
17701|Kavruuls Mystic Pouch|142500|157500
17702|Treasure Hunters Satchel|142500|157500
25247|Drakkel Steel Mask|142500|157500
25805|Black Marble|142500|157500
25807|Pristine Emerald|142500|157500
25814|Flawless Diamond|142500|157500
4003|Steel Collar|133000|147000
4015|Small Steel Collar|133000|147000
4027|Large Steel Collar|133000|147000
4413|Abalone Gorget|133000|147000
24017|Ognit's Aqua Collar|133000|147000
30152|Small Velium Collar|133000|147000
21171|TeirDal Adamantite Pauldron|127300|211050
11633|Ravener Tail Whip|123500|2730000
10035|Ruby|118750|131250
10048|Star Ruby Earring|118750|131250
25640|Chipped Ruby|118750|131250
21167|TeirDal Adamantite Helm|117800|195300
21174|TeirDal Adamantite Vambraces|116850|193725
21173|TeirDal Adamantite Girdle|114950|190575
3600|Blackened Alloy Coif|114000|630000
7326|Ivory Shafted Spear|114000|630000
21176|TeirDal Adamantite Gauntlets|110200|182700
14738|Band of Eternal Flame|109250|1449000
10917|Shadewood Bow Staff|108300|359100
8079|Sabertooth|95950|212100
1069|Fiery Jewel of the Underfoot|95000|525000
4002|Steel Mask|95000|105000
4014|Small Steel Mask|95000|105000
4026|Large Steel Mask|95000|105000
4315|Obulus Death Shroud|95000|2100000
5052|Well-Balanced Two-Handed Sword|95000|441000
5053|Well-Balanced Two-Handed Axe|95000|441000
5304|Combine Two Handed Sword|95000|105000
5321|Ivory Handled Long Sword|95000|105000
6404|Staff of Writhing|95000|525000
9005|Tower Shield|95000|105000
9013|Small Tower Shield|95000|105000
9020|Large Tower Shield|95000|105000
10034|Sapphire|95000|105000
10047|Mithril Amulet|95000|105000
10059|Star of Odus|95000|105000
11607|McVaxius Horn of War|95000|5250000
12097|Platinum Thread|95000|210000
16503|Platinum Bar|95000|105000
20657|Glowing Black Sword|95000|1050000
25080|Defiance|95000|1050000
25195|The Horn of Hsagra|95000|5250000
25639|Chipped Sapphire|95000|105000
27944|Pirahna Scale Mask|95000|2100000
29320|Dragons Blood Earring|95000|2100000
30151|Small Velium Mask|95000|105000
30211|Coldain Velium Two Handed Sword|95000|210000
14718|Book of the Rings|93575|1034250
5612|Arbitor's Combine Greatsword|90250|1296750
7224|Kylong War Dagger|90250|1496250
8053|Dew Woven Sleeves|90250|199500
16511|Reucoat's|86450|95550
9030|Clay Guardian Shield|85500|1890000
17810|White Cauldron|85500|94500
25579|Silver Sword of Yalrek|85500|189000
1623|Sash of the Dragonborn|84550|5887350
1617|Kunzar Cloak|83600|369600
1625|Enshrouded Veil|83600|9240000
