10 Dose Adrenaline Tap	[start]	"10 Dose Adrenaline Tap

EXPENDABLE  Charges: 10Effect: Flurry(Any Slot, Casting Time: 8.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Ant`s Potion	[start]	"10 Dose Ant`s Potion

EXPENDABLE  Charges: 10Effect: Ant Legs(Any Slot, Casting Time: 4.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Blood of the Wolf	[start]	"10 Dose Blood of the Wolf

EXPENDABLE  Charges: 10Effect: Spirit of Wolf(Any Slot, Casting Time: 4.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Ethira`s Poison Antidote	[start]	"10 Dose Ethira`s Poison Antidote

EXPENDABLE  Charges: 10Effect: Counteract Poison(Any Slot, Casting Time: 2.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Greater Null Potion	[start]	"10 Dose Greater Null Potion

EXPENDABLE  Charges: 10Effect: Null Aura(Any Slot, Casting Time: 4.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Greater Potion of Antibody	[start]	"10 Dose Greater Potion of Antibody

EXPENDABLE  Charges: 10Effect: Aura of Antibody(Any Slot, Casting Time: 4.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Greater Potion of Cold	[start]	"10 Dose Greater Potion of Cold

EXPENDABLE  Charges: 10Effect: Aura of Cold(Any Slot, Casting Time: 4.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Greater Potion of Heat	[start]	"10 Dose Greater Potion of Heat

EXPENDABLE  Charges: 10Effect: Aura of Heat(Any Slot, Casting Time: 4.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Greater Potion of Negation	[start]	"10 Dose Greater Potion of Negation

EXPENDABLE  Charges: 10Effect: Nullify Magic(Any Slot, Casting Time: 3.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Greater Potion of Purity	[start]	"10 Dose Greater Potion of Purity

EXPENDABLE  Charges: 10Effect: Aura of Purity(Any Slot, Casting Time: 4.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Greater Potion of Vigor	[start]	"10 Dose Greater Potion of Vigor

EXPENDABLE  Charges: 10Effect: Vigor(Any Slot, Casting Time: 4.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Kilva`s Blistering Flesh	[start]	"10 Dose Kilva`s Blistering Flesh

EXPENDABLE  Charges: 10Effect: Scorching Skin(Any Slot, Casting Time: 10.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Kilva`s Skin of Flame	[start]	"10 Dose Kilva`s Skin of Flame

EXPENDABLE  Charges: 10Effect: Kilva`s Skin of Flame(Any Slot, Casting Time: 10.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Kithar`s Disease Treatment	[start]	"10 Dose Kithar`s Disease Treatment

EXPENDABLE  Charges: 10Effect: Counteract Disease(Any Slot, Casting Time: 2.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Minor Null Potion	[start]	"10 Dose Minor Null Potion

EXPENDABLE  Charges: 10Effect: Null Aura(Any Slot, Casting Time: 4.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Minor Potion of Cold	[start]	"10 Dose Minor Potion of Cold

EXPENDABLE  Charges: 10Effect: Aura of Cold(Any Slot, Casting Time: 4.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Minor Potion of Heat	[start]	"10 Dose Minor Potion of Heat

EXPENDABLE  Charges: 10Effect: Aura of Heat(Any Slot, Casting Time: 4.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Null Potion	[start]	"10 Dose Null Potion

EXPENDABLE  Charges: 10Effect: Null Aura(Any Slot, Casting Time: 4.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Potion of Antiweight	[start]	"10 Dose Potion of Antiweight

EXPENDABLE  Charges: 10Effect: Levitation(Any Slot, Casting Time: 4.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Potion of Aquatic Haunt	[start]	"10 Dose Potion of Aquatic Haunt

EXPENDABLE  Charges: 10Effect: Everlasting Breath(Any Slot, Casting Time: 4.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Potion of Cohesion	[start]	"10 Dose Potion of Cohesion

EXPENDABLE  Charges: 10Effect: Cohesion(Any Slot, Casting Time: 4.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Potion of Cold	[start]	"10 Dose Potion of Cold

EXPENDABLE  Charges: 10Effect: Aura of Cold(Any Slot, Casting Time: 4.0)
WT: 0.4  Size: SMALL
Class: ALL
Race: ALL

"	[end]
10 Dose Potion of Dulsehound	[start]	"10 Dose Potion of Dulsehound

MAGIC ITEM
EXPENDABLE  Charges: 10Effect: Dulsehound(Any Slot, Casting Time: Instant)
WT: 0.8  Size: SMALL
Class: ALL
Race: ALL

"	[end]
