P 304.0126, -3033.5095, 177.2401, 240, 240, 0, 1, .
P 51.0363, 1191.3468, -89.0404, 240, 240, 0, 1, .
P 1267.6273, -3616.0620, 59.8207, 240, 240, 0, 1, .
P -1757.7841, 2195.1677, -343.7878, 127, 0, 127, 1, .
P -108.2868, -1457.9404, 57.3529, 240, 240, 240, 1, .
P -1094.2095, 605.8129, -173.1199, 240, 240, 0, 1, .
P 70.3381, 1892.3888, -183.8851, 240, 240, 240, 1, .
P 3136.7173, 1234.3953, -155.9804, 240, 240, 240, 1, .
P 2585.4697, -481.0243, 0.1040, 240, 240, 0, 1, .
P -2054.8188, -463.9083, 110.3703, 240, 240, 0, 1, .
P 1499.6367, 481.3017, -162.7740, 240, 240, 240, 1, .
P 1499.9073, 819.1921, -162.7617, 240, 240, 240, 1, .
P 1447.1920, 847.8021, -162.7593, 240, 240, 240, 1, .
P 823.8935, 987.2571, -161.2711, 240, 240, 0, 1, .
P 979.2340, 1068.4697, -163.1839, 240, 240, 0, 1, .
P 1127.9746, 1249.8187, -160.5698, 240, 240, 0, 1, .
P 902.5615, 1664.2451, -178.7327, 240, 240, 0, 1, .
P 716.0880, 1395.0798, -168.0841, 240, 240, 0, 1, .
P 545.1384, 1586.6328, -153.7352, 240, 240, 0, 1, .
P 1504.4790, 225.1370, -151.8505, 240, 240, 240, 1, .
P 2990.6365, -918.6700, -60.1223, 127, 0, 127, 1, .
P 2450.6458, 114.5386, -108.4637, 240, 240, 0, 1, .
P 2946.7300, -740.5290, -65.2395, 150, 0, 150, 1, .
P 552.3170, -691.8119, -117.7485, 240, 240, 0, 1, .
P 2679.3057, -787.8179, -72.7189, 150, 0, 150, 1, .
P -2522.8779, -3069.9060, 121.7039, 240, 240, 0, 1, .
P 290.1243, -636.8659, -66.1973, 240, 240, 0, 1, .
P -2323.2830, -2067.5540, 69.0764, 240, 240, 0, 1, .
P 3132.4297, 1320.1489, -156.7641, 240, 240, 240, 1, .
P 2998.1838, 1429.1024, -143.7937, 240, 240, 240, 1, .
P -981.1790, 976.7234, -194.1141, 240, 240, 0, 1, .
P 96.5786, 1619.8177, -195.8495, 240, 240, 240, 1, .
P 2990.6658, -1309.7915, 16.6817, 240, 240, 0, 1, .
P 2268.0371, -3406.1423, -30.3062, 240, 240, 0, 1, .
P 2166.0068, -3745.3303, 35.7054, 240, 240, 0, 1, .
P -2719.4609, 1967.1285, -394.4592, 150, 0, 150, 1, .
P -1055.2562, 2207.7122, -280.6225, 150, 0, 150, 1, .
P -1193.6409, 105.0084, 5.1225, 240, 240, 240, 1, .
P 3090.5457, 1290.7266, -108.2089, 240, 240, 240, 1, .
P 3719.2764, -222.6722, -31.6596, 240, 240, 0, 1, .
P 2975.2612, 328.1856, -132.0298, 240, 240, 0, 1, .
P -1015.2295, 3033.4209, -415.1758, 240, 240, 0, 1, .
P -2616.0078, 1913.0509, -331.4048, 150, 0, 150, 1, .
P 77.4531, 1735.9464, -148.3889, 240, 240, 240, 1, .
P -1158.5364, 95.5544, 4.6531, 240, 240, 240, 1, .
P -2880.5566, 1990.9596, -386.7451, 150, 0, 150, 1, .
P -1430.1946, 2123.3738, -315.1026, 128, 0, 128, 1, .

