L 2739.0, -130.0, -38.0, 2967.0, -55.0, 120.0, 139, 69, 19
L 2965.0, -37.0, 118.0, 2742.0, -106.0, -36.0, 139, 69, 19
L 2959.0, -46.0, 114.0, 2965.0, -37.0, 118.0, 139, 69, 19
L 2964.0, -53.0, 119.0, 2959.0, -46.0, 114.0, 139, 69, 19
L 2967.0, -55.0, 120.0, 2964.0, -53.0, 119.0, 139, 69, 19
L 2971.0, -53.0, 121.0, 2967.0, -55.0, 120.0, 139, 69, 19
L 2975.0, -46.0, 122.0, 2971.0, -53.0, 121.0, 139, 69, 19
L 2973.0, -41.0, 122.0, 2975.0, -46.0, 122.0, 139, 69, 19
L 2965.0, -37.0, 119.0, 2973.0, -41.0, 122.0, 139, 69, 19
L 2726.0, -123.0, -38.0, 2729.0, -109.0, -38.0, 139, 69, 19
L 2731.0, -129.0, -38.0, 2726.0, -123.0, -38.0, 139, 69, 19
L 2739.0, -130.0, -38.0, 2731.0, -129.0, -38.0, 139, 69, 19
L 2749.0, -121.0, -37.0, 2739.0, -130.0, -38.0, 139, 69, 19
L 2748.0, -114.0, -37.0, 2749.0, -121.0, -37.0, 139, 69, 19
L 2742.0, -106.0, -36.0, 2748.0, -114.0, -37.0, 139, 69, 19
L 2729.0, -109.0, -38.0, 2742.0, -106.0, -36.0, 139, 69, 19
L 2965.0, 32.0, 121.0, 2745.0, 97.0, -38.0, 139, 69, 19
L 2958.0, 23.0, 116.0, 2961.0, 19.0, 116.0, 139, 69, 19
L 2961.0, 31.0, 118.0, 2958.0, 23.0, 116.0, 139, 69, 19
L 2965.0, 32.0, 121.0, 2961.0, 31.0, 118.0, 139, 69, 19
L 2972.0, 30.0, 122.0, 2965.0, 32.0, 121.0, 139, 69, 19
L 2974.0, 24.0, 123.0, 2972.0, 30.0, 122.0, 139, 69, 19
L 2973.0, 19.0, 123.0, 2974.0, 24.0, 123.0, 139, 69, 19
L 2968.0, 17.0, 120.0, 2973.0, 19.0, 123.0, 139, 69, 19
