P 1652.4579, 1428.6874, 294.8172,  240, 240, 0,  1,  .
P 1771.0109, 1141.1852, 294.8295,  240, 240, 0,  1,  .
P 817.3680, 894.1282, 75.0099,  240, 240, 0,  1,  .
P 759.0008, 300.4225, 68.6790,  240, 240, 0,  1,  .
P 978.0638, 293.1561, 62.4940,  240, 240, 0,  1,  .
P 1505.5099, -263.7480, 75.2720,  240, 240, 0,  1,  .
P 392.7764, -829.7278, 79.9731,  240, 240, 0,  1,  .
P 418.0758, -909.9954, 63.0253,  240, 240, 0,  1,  .
P 709.1600, -1201.5182, 216.8032,  240, 240, 0,  1,  .
P 171.3064, -1036.9103, 71.7503,  240, 240, 0,  1,  .
P 1.6885, -1242.2177, 58.0440,  240, 240, 0,  1,  .
P -1559.7240, -1526.2112, 63.9830,  240, 240, 240,  1,  .
P 380.0292, 1200.8085, 292.2281,  240, 240, 0,  1,  .
