L -44.0, 701.0, -29.0, -40.0, 693.0, -28.0, 0, 0, 0
L -40.0, 693.0, -28.0, -33.0, 691.0, -31.0, 0, 0, 0
L -33.0, 691.0, -31.0, -30.0, 687.0, -31.0, 0, 0, 0
L -30.0, 687.0, -31.0, -32.0, 681.0, -26.0, 0, 0, 0
L -32.0, 681.0, -26.0, -33.0, 678.0, -27.0, 0, 0, 0
L -33.0, 678.0, -27.0, -35.0, 674.0, -29.0, 0, 0, 0
L -35.0, 674.0, -29.0, -37.0, 666.0, -29.0, 0, 0, 0
L -37.0, 666.0, -29.0, -37.0, 662.0, -30.0, 0, 0, 0
L -37.0, 662.0, -30.0, -41.0, 654.0, -31.0, 0, 0, 0
L -41.0, 654.0, -31.0, -51.0, 648.0, -30.0, 0, 0, 0
L -51.0, 648.0, -30.0, -59.0, 648.0, -30.0, 0, 0, 0
L -59.0, 648.0, -30.0, -68.0, 650.0, -27.0, 0, 0, 0
L -68.0, 650.0, -27.0, -77.0, 658.0, -21.0, 0, 0, 0
L -77.0, 658.0, -21.0, -80.0, 660.0, -19.0, 0, 0, 0
L -80.0, 660.0, -19.0, -84.0, 661.0, -17.0, 0, 0, 0
L -84.0, 661.0, -17.0, -88.0, 663.0, -16.0, 0, 0, 0
L -88.0, 663.0, -16.0, -91.0, 667.0, -12.0, 0, 0, 0
L -91.0, 667.0, -12.0, -94.0, 670.0, -7.0, 0, 0, 0
L -94.0, 670.0, -7.0, -100.0, 675.0, -4.0, 0, 0, 0
L -100.0, 675.0, -4.0, -101.0, 680.0, -2.0, 0, 0, 0
L -101.0, 680.0, -2.0, -105.0, 690.0, 4.0, 0, 0, 0
L -105.0, 690.0, 4.0, -113.0, 695.0, 6.0, 0, 0, 0
L -113.0, 695.0, 6.0, -114.0, 698.0, 6.0, 0, 0, 0
L -114.0, 698.0, 6.0, -119.0, 707.0, 12.0, 0, 0, 0
L -119.0, 707.0, 12.0, -130.0, 714.0, 17.0, 0, 0, 0
L -130.0, 714.0, 17.0, -135.0, 716.0, 18.0, 0, 0, 0
L -135.0, 716.0, 18.0, -141.0, 718.0, 16.0, 0, 0, 0
L -141.0, 718.0, 16.0, -149.0, 721.0, 14.0, 0, 0, 0
L -149.0, 721.0, 14.0, -153.0, 722.0, 15.0, 0, 0, 0
L -153.0, 722.0, 15.0, -156.0, 722.0, 16.0, 0, 0, 0
L -156.0, 722.0, 16.0, -162.0, 722.0, 15.0, 0, 0, 0
L -162.0, 722.0, 15.0, -180.0, 715.0, 15.0, 0, 0, 0
L -180.0, 715.0, 15.0, -184.0, 714.0, 15.0, 0, 0, 0
L -184.0, 714.0, 15.0, -189.0, 712.0, 18.0, 0, 0, 0
