P 3226.5967, 1902.8589, -31.0900, 240, 240, 240, 1, .
P 2742.2852, -3437.0247, -93.9924, 240, 240, 240, 1, .
P -224.6788, -1479.2848, -55.0806, 240, 240, 0, 1, .
P -548.8901, -1505.2334, -14.7867, 240, 240, 0, 1, .
P -1059.8550, -2001.8716, -67.1895, 240, 240, 0, 1, .
P -1545.2427, -569.4968, -42.0999, 240, 240, 0, 1, .
P -2650.0811, 829.9216, -81.2676, 240, 240, 240, 1, .
P -3220.5398, 912.1953, -76.4361, 240, 240, 240, 1, .
P -1592.9441, 1371.4335, -54.7279, 240, 240, 240, 1, .
P 1706.6532, 2834.6924, -77.9072, 240, 240, 240, 1, .
P 848.3727, 2201.0706, -175.5287, 240, 240, 0, 1, .
P 859.2729, 2334.0032, 35.2003, 240, 240, 240, 1, .
P 202.0038, 2436.3960, -67.4948, 240, 240, 240, 1, .
P -534.0527, 2015.4413, -178.6174, 240, 240, 0, 1, .
P -1965.9734, -1327.3318, -72.7232, 240, 240, 0, 1, .
P -1438.1404, -1982.0713, -75.7223, 240, 240, 240, 1, .
P -164.0734, -1889.0647, -89.3964, 240, 240, 0, 1, .
P 62.2454, -2381.5088, -62.4008, 240, 240, 0, 1, .
P 279.8099, -3145.2627, -98.6311, 240, 240, 240, 1, .
P 956.9433, -3205.3245, -82.0316, 240, 240, 0, 1, .
P 2324.8018, -2695.5330, -55.0272, 240, 240, 240, 1, .
P 2241.1211, -1939.9701, -0.4789, 240, 240, 240, 1, .
P 3083.2161, -315.8930, -45.8075, 240, 240, 240, 1, .
P 2585.8892, 204.8865, -50.1881, 240, 240, 240, 1, .
P 1888.7831, -413.7715, -52.7878, 240, 240, 240, 1, .
P 1744.9473, 646.4462, -52.7346, 240, 240, 240, 1, .
P 2162.5269, 1534.2415, -170.0785, 240, 240, 0, 1, .
P 2745.4380, 2458.5625, -37.3859, 240, 240, 240, 1, .
P 3013.9976, 2014.7372, 33.7036, 240, 240, 240, 1, .
P 1061.2338, -1093.2594, -54.8161, 240, 240, 240, 1, .
P -94.1907, -3198.1216, -86.1123, 240, 240, 0, 1, .
P -2548.0127, -2933.7642, -55.7644, 240, 240, 0, 1, .
P -254.8508, -662.8459, -190.7073, 240, 240, 0, 1, .
P 276.8177, -660.6606, -182.4082, 240, 240, 0, 1, .
P -961.9824, 258.5184, -172.3899, 240, 240, 0, 1, .
P 807.7006, 860.6993, -38.5071, 240, 240, 240, 1, .
P 18.7376, 894.2098, -39.2307, 240, 240, 240, 1, .
P -767.1880, 797.5563, -52.0254, 240, 240, 240, 1, .
P -1306.3954, 1952.7559, -31.9010, 240, 240, 240, 1, .
P -1337.6592, 431.1617, -159.3445, 240, 240, 0, 1, .
P 1194.7948, -669.8651, -180.4762, 240, 240, 0, 1, .
P 3204.6045, -3093.5281, -298.2506, 240, 240, 0, 1, .
P 4223.3018, -2862.8340, -300.1194, 240, 240, 0, 1, .
P 5419.8218, -2106.7974, -300.1138, 240, 240, 0, 1, .
P 3340.8040, -1216.1515, -298.8143, 240, 240, 0, 1, .
P 3243.8230, -1727.0442, -16.5124, 240, 240, 240, 1, .
P -1926.1100, 89.4037, -206.4197, 240, 240, 0, 1, .
P -541.5784, -1296.8665, -198.5412, 240, 240, 0, 1, .
