P -112.5920, -453.2686, -9.3082,  240, 240, 240,  2,  Room_1
P -54.8369, -353.1913, -7.0125,  240, 240, 240,  2,  Room_2
P -112.3584, -285.4211, -4.2418,  240, 240, 240,  2,  Room_3
P -76.7775, -212.6560, -7.5830,  240, 240, 240,  2,  Room_4
P -195.1883, -197.4525, -7.3039,  240, 240, 240,  2,  Room_5
P -258.9917, -210.7007, -7.2228,  240, 240, 240,  2,  Room_6
P -340.3979, -230.0870, -7.2729,  240, 240, 240,  2,  Room_7
P -335.5429, -335.8118, -6.6751,  240, 240, 240,  2,  Room_8
P -333.9763, -400.8537, -6.6751,  240, 240, 240,  2,  Room_9
P -204.0727, -443.2136, -0.6659,  240, 240, 240,  2,  Room_10
